Path Size;DurationAStar;DurationDijkstra
411.755;3287;20186
461.221;4508;19784
395.762;2568;19820
0;582;21895
376.785;2247;21793
325.311;1202;21876
276.97;784;22243
394.905;2736;21017
420.185;3772;19652
553.651;6885;19457
759.903;9311;19450
718.498;9129;20705
455.717;4976;21514
501.228;6787;21827
489.485;5560;21666
364.525;1911;20885
506.098;5537;19809
915.363;10057;17690
648.657;9313;18636
533.895;8557;19707
397.416;5831;19647
446.166;7418;19734
409.52;5895;19495
456.95;6919;18025
331.22;3680;17957
335.323;3839;17757
336.005;4064;17848
385.471;4876;17914
320.013;3211;17794
236.087;1654;19208
0;514;20073
249.562;2221;19709
201.22;1233;19312
319.156;3434;19477
344.435;4596;18201
458.234;6307;17685
684.154;9170;17696
642.749;9168;17929
379.967;4739;20213
425.479;6534;19541
413.736;5910;19510
288.775;2991;19101
430.349;6532;18309
880.759;9882;19569
614.053;13250;19512
499.291;8173;18759
362.812;5150;20494
411.562;7317;20459
374.916;5689;20740
422.345;8561;20164
296.615;3789;18931
300.719;3623;18589
301.401;3675;18582
350.867;4801;18536
285.408;3023;19374
201.483;1591;20870
145.761;878;20873
0;427;21058
166.616;1216;20588
284.551;3229;19658
309.831;4229;18870
443.297;6725;18477
649.549;9281;18412
608.144;9176;20497
345.363;5614;20124
390.874;7064;20623
379.131;5882;20247
254.171;2476;20399
395.744;5788;18481
839.185;10060;19121
558.159;10802;20467
523.053;10053;20961
381.914;5955;20913
435.324;7551;21086
398.678;6465;20271
446.107;7301;19461
320.377;4074;18858
324.481;4127;18998
309.909;3731;19119
359.375;5207;20786
309.17;4463;20748
303.109;4063;20516
226.36;1887;20907
137.473;927;19883
0;308;19336
120.712;691;19121
251.874;1863;19360
317.166;3647;19081
589.496;10592;21054
548.092;10332;21588
307.758;4283;22006
414.636;7431;21507
398.234;5977;18889
277.933;2598;19336
335.692;4388;18993
822.122;10131;22216
541.097;10320;22998
506.219;10256;22425
364.851;5696;22850
425.112;7147;20790
393.716;5622;20985
440.087;7555;20785
323.659;3838;20758
327.763;4325;22909
292.846;3847;22602
342.312;4750;22658
312.452;3976;22353
322.301;4180;20690
306.87;2958;20900
186.864;1085;21564
94.5707;337;20646
0;751;23698
234.812;1624;22717
366.181;5523;22447
572.434;10447;22713
531.029;9573;20500
290.695;2497;20757
397.802;5687;21329
381.171;5241;20878
281.215;2959;22747
318.629;4076;22522
686.321;11610;25401
411.206;10386;23244
324.441;7393;22832
183.074;2433;23073
243.335;4396;22836
211.939;3106;25165
258.31;6087;25376
213.514;3739;24484
217.618;3936;24430
111.069;910;23149
160.535;1697;23662
258.25;4982;22786
268.1;5199;24009
331.816;8492;25094
252.902;4802;24904
194.922;3049;24981
253.757;4945;23137
0;263;23117
263.11;4996;22960
469.649;9767;23724
428.245;10233;25333
133.279;1246;25178
216.025;4033;24577
199.394;3021;23210
130.94;1079;22925
215.845;3173;22968
690.675;10279;25351
409.65;9849;27418
384.34;8966;27191
240.215;2366;27229
303.234;5014;25057
271.838;3240;25014
318.209;5339;24918
319.214;5394;25864
323.318;6603;27343
186.21;1017;27445
217.676;1967;27378
335.523;6707;24827
345.373;6504;24597
408.074;8240;24681
329.159;5326;27648
271.18;3460;27040
265.227;2949;27754
132.391;605;26891
0;393;25128
440.987;9021;25123
399.582;7836;24981
160.312;574;27700
275.924;4099;27493
256.535;2826;27533
236.983;2432;26684
187.182;894;25546
582.057;9796;22273
287.014;2642;22512
359.434;6140;24192
291.56;3593;24174
355.352;6904;24147
342.867;6114;24168
370.327;7081;22103
390.244;7632;22239
394.347;7498;22064
257.24;2220;22335
243.324;1821;23443
432.728;8940;24444
442.578;9068;24338
505.279;10379;23816
426.364;8306;22631
368.385;6061;22432
401.031;8489;22472
229.596;1769;23684
140.629;1016;24839
0;453;24729
276.947;2599;24809
257.517;2373;24169
338.234;5342;22053
293.333;3089;23253
308.013;3774;22295
129.14;547;24120
555.659;5259;21371
324.126;1163;21471
